學校,科系,項目,說明,指定項目甄試日期
國立臺灣大學,化學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、N)、學習歷程自述(O)、其他(R.個人資料表、S.高中老師推薦信)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.個人資料表請至化學系網頁下載。 2.推薦信請透過甄選委員會「審查資料上傳系統」繳交，倘推薦老師另有其他推薦信補充說明請於5月5日(一)前以掛號(以郵戳為憑)逕寄本系:(106)臺北市大安區羅斯福路四段一號臺大化學系，並標註申請入學推薦信。,114.5.24
國立臺灣大學,地質科學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、H、J、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,l.多元表現（J.競賽表現）：需與地球科學領域相關. 2.多元表現（M.特殊優良表現證明）：例如參與活動特殊表現或成果、論文及著作、參與研究計劃等有利資料。,114.5.17至114.5.18
國立臺灣大學,心理學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,無,114.5.25
國立臺灣大學,地理環境資源學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.25
國立臺灣大學,大氣科學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現(N.綜整心得)：500字內敘述多元表現具體事例及對就讀本系的幫助。2.學習歷程自述(Ｏ.高中學習歷程反思)：500字內敘述個人特質及擅長的學科能力。3.學習歷程自述(Ｐ.就讀動機)：500字內敘述報考本系動機及你對大氣科學領域的了解。,114.5.17
國立臺灣大學,政治學系政治理論組,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,學習歷程自述(O、P、Q)：每項自述各以一頁為限，超出部分不予計分。,114.5.18
國立臺灣大學,政治學系國際關係組,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,學習歷程自述(O、P、Q)：每項自述各以一頁為限，超出部分不予計分。,114.5.18
國立臺灣大學,政治學系公共行政組,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,學習歷程自述(O、P、Q)：每項自述各以一頁為限，超出部分不予計分。,114.5.18
國立臺灣大學,經濟學系A組,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(O、P、Q)：每項自述各以一頁為限，超出部分不予計分。2.其他(R.個人資料表)：請務必上傳，表單格式於3月27日起至本系網頁(https://econ.ntu.edu.tw)下載，依式填寫。,114.5.17
國立臺灣大學,經濟學系B組,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(O、P、Q)：每項自述各以一頁為限，超出部分不予計分。2.其他(R.個人資料表)：請務必上傳，表單格式於3月27日起至本系網頁(https://econ.ntu.edu.tw)下載，依式填寫。,114.5.17
國立臺灣大學,經濟學系C組,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(O、P、Q)：每項自述各以一頁為限，超出部分不予計分。2.其他(R.個人資料表)：請務必上傳，表單格式於3月27日起至本系網頁(https://econ.ntu.edu.tw)下載，依式填寫。,114.5.17
國立臺灣大學,社會學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,本系培養具有社會學知識且能溝通領導、批判思考、主動學習、合作共榮的學生。請在學習歷程自述中，說明申請本系的動機，對社會學的認識，以及具備何種學習社會學的能力和特質。並請說明，你高中時期的修課紀錄，製作課程學習成果情形和多元表現，與申請本系有何關聯。,114.5.22
國立臺灣大學,社會工作學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.18
國立臺灣大學,醫學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、I、L、M、N)、學習歷程自述(O、P、Q)、其他(R.師長推薦函2封)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.檢定證照(L)：大考中心英語聽力測驗成績、英檢及其他相關英語檢定證照等可供審查參考。2.多元表現綜整心得(N)含一頁個人資料表(請至系網站下載)。3.其他(R.師長推薦函2封)：請直接上傳至甄選會審查資料系統。,114.5.17114.5.24
國立臺灣大學,醫學系(公費生),修課紀錄(A)、課程學習成果(D)、多元表現(F、I、L、M、N)、學習歷程自述(O、P、Q)、其他(R.師長推薦函2封)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.檢定證照(L)：大考中心英語聽力測驗成績、英檢及其他英語相關檢定證照等可供審查參考。2.多元表現綜整心得(N)含一頁個人資料表(請至系網站下載)。3.其他(R.師長推薦函2封)：請直接上傳至甄選會審查資料系統。,114.5.17114.5.24
國立臺灣大學,牙醫學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現(N.多元表現綜整心得)：包括個人資料表(請至本系網站下載)，請整理個人相關經歷及表現等。2.學習歷程自述(P.就讀動機)：包括自傳、申請動機及未來規劃。,114.5.17114.5.24
國立臺灣大學,藥學系,修課紀錄(A)、多元表現(F、H、I、M、N)、學習歷程自述(O、P、Q)、其他(R.自傳)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,依簡章規定。,114.5.17114.5.24
國立臺灣大學,醫學檢驗暨生物技術學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.小論文)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,小論文題目：精準檢驗和人工智慧--醫學檢驗的新發展（限A4紙一頁），請一併上傳系統。,114.5.23
國立臺灣大學,護理學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立臺灣大學,物理治療學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、I、J、M、N)、學習歷程自述(P、Q)、其他(R.自傳(限一頁)、S.小論文) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(S小論文)題目:請闡述物理治療在健康促進的角色(限一頁)。,114.5.17
國立臺灣大學,職能治療學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、M、N)、學習歷程自述(O、P)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,其他有利審查資料：可以選繳。,114.5.22
國立臺灣大學,土木工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,無,114.5.18
國立臺灣大學,機械工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(G、H、L、M、N)、學習歷程自述(P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,無,114.5.18
國立臺灣大學,化學工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.有利審查之資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.18
國立臺灣大學,工程科學及海洋工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.18
國立臺灣大學,材料科學與工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、I、J、M、N)、學習歷程自述(O、P、Q)、其他(R.有利審查之資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.18
國立臺灣大學,醫學工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、L、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.18
國立臺灣大學,農藝學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、G、H、L、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立臺灣大學,生物環境系統工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
國立臺灣大學,農業化學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、K、L、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,無,114.5.17
國立臺灣大學,森林環境暨資源學系,修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)、其他(R.對森林之認識及看法、S.其他有利審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,其他(R.對森林之認識及看法)：請提交1000字內之短文，論述對森林及林業議題之看法。,114.5.25
國立臺灣大學,動物科學技術學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立臺灣大學,農業經濟學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(P)：就讀動機之小論文題目：「我為什麼要讀農業經濟學系」。2.學習歷程自述(P)及其他(R.個人資料表)之格式：請於3月27日(四)起至本系網站下載。,114.5.23
國立臺灣大學,園藝暨景觀學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.20
國立臺灣大學,獸醫學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.獸醫場所實習證明、S.獸醫場所實習心得) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.獸醫場所實習證明為至動物醫院、畜牧場、養殖場、收容所等相關單位實習40小時以上並檢附證明（需含實習時數、單位核章及獸醫師簽名），且於口試當日繳交正本。2.獸醫場所實習心得格式請至本系網頁下載，以14號字撰寫，內容包含自傳（750字內）、讀書計畫（250字內）及實習心得（1000字內）等。,114.5.21至114.5.22
國立臺灣大學,生物產業傳播暨發展學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,M.特殊優良表現證明：在農業、區域發展與行銷傳播有特殊優良表現之事蹟。,114.5.23
國立臺灣大學,生物機電工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.18
國立臺灣大學,昆蟲學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(M、N)、學習歷程自述(P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.22至114.5.23
國立臺灣大學,植物病理與微生物學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、K、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.24
國立臺灣大學,工商管理學系企業管理組,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表、S.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(O、P、Q)：每項自述各以二頁為限。2.其他(R.個人資料表)：格式請至本系網頁下載，以一頁為限。3.其他(S.其他有利審查資料)：如資優班證明、高中期間各項能力、活動及表現等有利證明。,114.5.23
國立臺灣大學,工商管理學系科技管理組,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表、S.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(O、P、Q)：每項自述各以二頁為限。2.其他(R.個人資料表)：格式請至本系網頁下載，以一頁為限。3.其他(S.其他有利審查資料)：如資優班證明、高中期間各項能力、活動及表現等有利證明。,114.5.23
國立臺灣大學,會計學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表、S.其他有利資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.其他(R.個人資料表)：請至本系網站下載並依格式填寫．以一頁為限。2.其他(S.其他有利審查資料)：可檢附各項能力、活動及表現等有利證明。,114.5.22
國立臺灣大學,財務金融學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、N)、學習歷程自述(O、P、Q)、其他(R.本系個人資料表、S.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現(N)以二頁共800字為限。學習歷程自述(O、P、Q)：三項自述共以6頁為限，字體大小12-14。超出部分不予計分。2.其他個人資料表(R)：請至本系網站下載填寫後掃描成PDF檔上傳及email寄到本系，請依格式填寫勿超過一頁。3.有利審查資料(S)：(1)科學班、資優班學生請另提證明(2)可檢附各項能力、活動及表現等有利資料。,114.5.16
國立臺灣大學,國際企業學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、L、N)、學習歷程自述(Q)、其他(R.本系個人資料表、S.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.其他(R.本系個人資料表)：請於4月21日(一)起至本系網站下載，一頁為限。
2.其他(S.其他有利審查資料)：可檢附各項能力、活動及表現等有利證明。",114.5.22
國立臺灣大學,資訊管理學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)、其他(R.本系個人資料表、S.自傳(學生自述)、T.有利審查資料之證明) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.其他(R.本系個人資料表)：請至本系網站填寫後下載並上傳甄選會系統。2.其他(T.有利審查資料之證明)：如高中就讀數理資優班、高中在學期間特殊榮譽、有效期間內英文檢定成績(如大考中心英語聽力測驗成績等)。,114.5.23
國立臺灣大學,資訊管理學系(資安組),修課紀錄(A)、課程學習成果(B)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)、其他(R.本系個人資料表、S.自傳(學生自述)、T.有利審查資料之證明) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(P、Q):內容請著重資安領域。2.其他(R)本系個人資料表：請至本系網站填寫後下載並上傳甄選會系統。3.其他(T)有利審查資料之證明：(1)可資證明於資安領域具有特殊才能之相關資料(如APCS檢定)、(2)其他如高中就讀數理資優班、高中在學期間特殊榮譽、有效期間內英文檢定成績(如大考中心英語聽力測驗成績等)。,114.5.23
國立臺灣大學,公共衛生學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,學習歷程自述(P、Q)總篇幅以二頁為上限。,114.5.17
國立臺灣大學,電機工程學系,修課紀錄(A)、課程學習成果(B、D)、學習歷程自述(P、Q)、其他(R.本系個人資料表、S.自傳(學生自述)、T.有利審查資料之證明) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.其他(R.本系個人資料表)：請至本系網站填寫，下載後上傳。2.其他(T.有利審查資料之證明)：例如資優班證明，並可檢附各項能力、活動及表現等有利證明。,114.5.18
國立臺灣大學,資訊工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(P、Q)、其他(R.本系個人資料表、S.自傳(學生自述)、T.有利審查之證明) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.其他(R.本系個人資料表)：請至本系網站填寫，列印簽名後掃描上傳。2.其他(T.有利審查之證明): (1)可檢附各項能力、活動及表現之有利證明，如APCS或資安相關學習經歷等。(2)若為資優班學生請附證明。,114.5.18
國立臺灣大學,資訊工程學系(APCS組),無資料,無資料,114.5.18
國立臺灣大學,資訊工程學系(資安組),修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(P、Q)、其他(R.本系個人資料表、S.自傳(學生自述)、T.有利審查之證明) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(P、Q):內容請著重於資安領域。2.其他(R.本系個人資料表)：請至本系網站填寫，列印簽名後掃描上傳。3.其他(T.有利審查之證明):請檢附資安領域相關學習經歷，如:資安競賽或活動、AIS3參加證明等。,114.5.18
國立臺灣大學,法律學系法學組,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.自傳)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料內容不得透露學科能力測驗成績。,114.5.25
國立臺灣大學,法律學系司法組,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.自傳)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料內容不得透露學科能力測驗成績。,114.5.25
國立臺灣大學,法律學系財經法學組,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.自傳)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料內容不得透露學科能力測驗成績。,114.5.25
國立臺灣大學,生命科學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,學習歷程自述O.高中學習歷程反思、P.就讀動機、Q.未來學習計畫與生涯規劃之撰寫內容，可參考本系網站說明。,114.5.17
國立臺灣大學,生化科技學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.申論題[必繳])※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現(L.檢定證照)：如英語(如大考中心高中英聽測驗成績單等)或數理能力檢定證明等。2.其他(R.申論題[必繳])：題目、撰寫內容及規定格式請詳閱本系網站之「高中生專區」→「入學管道」說明。,114.5.20至114.5.21
國立臺灣大學,國際體育運動事務學士學位學程,修課紀錄(A)、課程學習成果(B)、多元表現(F、H、J、N)、學習歷程自述(Q)、其他(R.最優運動參與經驗自述、S.國際事務理解或參與) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,其它(R.最優運動參與經驗自述)及其它(S.國際事務理解或參與)：格式不限。,114.5.23至114.5.24
國立臺灣大學,希望組甲組(文社法),修課紀錄(A)、課程學習成果(C、E)、多元表現(I、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.報名資格證明正本、S.有利審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(Q)：請描述個人特質、家庭成員及經濟情況，於求學時成長歷程、就讀志趣及未來生涯規劃。2.其他(R)報名資格證明正本：符合報名資格之證明、戶籍謄本(詳細版本)、全戶所得及資產證明，所繳各份證明均應為正本且應完整齊備。3.(S)其他有利審查資料：可含利他、服務、在校參與活動及表現等文件。,--
國立臺灣大學,希望組乙組(地理及生傳),修課紀錄(A)、課程學習成果(C、E)、多元表現(I、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.報名資格證明正本、S.有利審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(Q)：請描述個人特質、家庭成員及經濟情況，於求學時成長歷程、就讀志趣及未來生涯規劃。2.其他(R)報名資格證明正本：符合報名資格之證明、戶籍謄本(詳細版本)、全戶所得及資產證明，所繳各份證明均應為正本且應完整齊備。3.(S)其他有利審查資料：可含利他、服務、在校參與活動及表現等文件。,--
國立臺灣大學,希望組丙組(理),修課紀錄(A)、課程學習成果(C、D)、多元表現(I、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.報名資格證明正本、S.有利審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(Q)：請描述個人特質、家庭成員及經濟情況，於求學時成長歷程、就讀志趣及未來生涯規劃。2.其他(R)報名資格證明正本：符合報名資格之證明、戶籍謄本(詳細版本)、全戶所得及資產證明，所繳各份證明均應為正本且應完整齊備。3.(S)其他有利審查資料：可含利他、服務、在校參與活動及表現等文件。,--
國立臺灣大學,希望組丁組(生醫),修課紀錄(A)、課程學習成果(C、D)、多元表現(I、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.報名資格證明正本、S.有利審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(Q)：請描述個人特質、家庭成員及經濟情況，於求學時成長歷程、就讀志趣及未來生涯規劃。2.其他(R)報名資格證明正本：符合報名資格之證明、戶籍謄本(詳細版本)、全戶所得及資產證明，所繳各份證明均應為正本且應完整齊備。3.(S)有利審查之資料：可含利他、服務、在校參與活動及表現等文件。,--
